Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime
The Talented Mr. Ripley,1999,81298265,47501244,128799509,"['Crime', 'Drama', 'Thriller']",2 hr 19 min
School of Rock,2003,81261177,49834813,131095990,"['Comedy', 'Music']",1 hr 49 min
Snow Dogs,2002,81172560,33862530,115035090,"['Adventure', 'Comedy', 'Family', 'Sport']",1 hr 39 min
21,2008,81159365,78649005,159808370,"['Crime', 'Drama', 'History', 'Thriller']",2 hr 3 min
While You Were Sleeping,1995,81057016,101000000,182057016,"['Comedy', 'Drama', 'Romance']",1 hr 43 min
Congo,1995,81022101,71000000,152022101,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",1 hr 49 min
The Notebook,2004,81001787,36813370,117815157,"['Drama', 'Romance']",2 hr 3 min
Jimmy Neutron: Boy Genius,2001,80936232,22056304,102992536,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",1 hr 22 min
Eat Pray Love,2010,80574010,124020006,204594016,"['Biography', 'Drama', 'Romance']",2 hr 13 min
The Texas Chainsaw Massacre,2003,80571655,26792250,107363905,"['Crime', 'Horror']",1 hr 38 min
Zookeeper,2011,80360843,89491916,169852759,"['Comedy', 'Family', 'Fantasy', 'Romance']",1 hr 42 min
